Nota;Categoria;Data;Remetente;Destinatário;"Trib. Fornecedor";Item;NCM;CFOP;Origem;"Valor Produto";Seguro;Frete;Despesas;Descontos;IPI;MVA-ST;"BC ICMS";"BC ICMS ST";ALIQ.INT;ALIQ.ESTD;ICMS-ST
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";1;39241000;6102;Estrangeira;78,00;0,00;0,00;0,00;0,00;5,07;100,36;78,00;166,44;18,00;4,00;26,84
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";2;39241000;6102;Estrangeira;78,00;0,00;0,00;0,00;0,00;5,07;100,36;78,00;166,44;18,00;4,00;26,84
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";3;39241000;6102;Estrangeira;78,00;0,00;0,00;0,00;0,00;5,07;100,36;78,00;166,44;18,00;4,00;26,84
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";4;39241000;6102;Estrangeira;78,00;0,00;0,00;0,00;0,00;5,07;100,36;78,00;166,44;18,00;4,00;26,84
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";5;39241000;6102;Estrangeira;78,00;0,00;0,00;0,00;0,00;5,07;100,36;78,00;166,44;18,00;4,00;26,84
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";6;39241000;6102;Estrangeira;40,80;0,00;0,00;0,00;0,00;2,65;100,36;40,80;87,06;18,00;4,00;14,04
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";7;39249000;6102;Estrangeira;60,00;0,00;0,00;0,00;0,00;3,90;0,00;0,00;0,00;0,00;0,00;0,00
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";8;39241000;6102;Estrangeira;156,00;0,00;0,00;0,00;0,00;10,14;100,36;156,00;332,88;18,00;4,00;53,68
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";9;82152000;6102;Estrangeira;102,00;0,00;0,00;0,00;0,00;6,63;76,78;102,00;192,04;18,00;4,00;30,49
3239;" - ";22/12/2022;"GN COMERCIAL DE UTILIDADES DOMESTICAS LTDA";"SABER DECOR PRESENTES E DECORACOES LIMITADA";"Regime Normal";10;82119210;6102;Estrangeira;570,00;0,00;0,00;0,00;0,00;44,46;0,00;0,00;0,00;0,00;0,00;0,00
